dataset_record_id,canonical_class,canonical_label,scope_type,severity,category,repo_key,reviewer1_label,reviewer2_label,reviewer3_label,reviewer1_confidence,reviewer2_confidence,reviewer3_confidence,reviewer1_harm,reviewer2_harm,reviewer3_harm,majority_label,agreement_type,reviewer1_rationale_short,reviewer2_rationale_short,reviewer3_rationale_short
TPFPV1-0078,autonomous_execution_or_looping,Autonomous execution or looping,repo-file,high,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,TP,TP,TP,high,high,high,high,high,high,TP,unanimous,The iterate-PR workflow continuously pushes fixes until CI and review feedback are resolved.,"Same iterate-pr autonomous-loop pattern as 0058/0059/0064/0065, replicated in sickn33's antigravity-awesome-skills.","The artifact explicitly instructs the agent to keep fixing issues, committing, pushing, and polling CI/review feedback until the PR is green in a repeated unattended loop rather than stopping after a single bounded action."
TPFPV1-0080,autonomous_execution_or_looping,Autonomous execution or looping,repo-file,high,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,TP,TP,TP,high,high,high,high,high,high,TP,unanimous,The evidence supports an unattended PR iteration loop with remote code changes.,Same iterate-pr style autonomous-loop-with-writes skill in sickn33 cohort.,"The artifact explicitly instructs the agent to keep fixing issues, committing, pushing, and polling CI/review feedback until the PR is green in a repeated unattended loop rather than stopping after a single bounded action."
TPFPV1-0082,autonomous_execution_or_looping,Autonomous execution or looping,repo-file,high,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,TP,TP,TP,high,high,high,high,high,high,TP,unanimous,The workflow can keep addressing PR comments and pushing changes as conditions evolve.,Same iterate-pr style autonomous-loop-with-writes skill in sickn33 cohort (third instance).,"The artifact explicitly instructs the agent to keep fixing issues, committing, pushing, and polling CI/review feedback until the PR is green in a repeated unattended loop rather than stopping after a single bounded action."
TPFPV1-0087,broad_external_action_without_approval,Broad external action without approval,repo-file,high,category1_top_instruction_repos,category1_top_instruction_repos/NousResearch__hermes-agent,TP,TP,TP,high,high,medium,high,high,high,TP,unanimous,AgentMail exposes email sending and inbox management without a visible approval model in the cited artifact.,"AgentMail skill explicitly gives the agent its own dedicated email inbox to 'send emails autonomously', sign up for services, and authenticate via email — no approval gate.",The artifact operationally exposes creating agent-owned inboxes and sending/replying to email as the agent without a clear per-action approval step once the skill is in use.
TPFPV1-0088,broad_external_action_without_approval,Broad external action without approval,repo-file,high,category1_top_instruction_repos,category1_top_instruction_repos/NousResearch__hermes-agent,TP,TP,FP,high,high,high,high,high,low,TP,split-2-1,"The Hermes agent platform material combines external messaging, scheduling, webhooks, tool access, and approval-bypass modes.","hermes-agent meta-skill describes a framework with 'webhook triggers, cron scheduling, and the full Python ecosystem' running multi-platform with full system access.","The matched action verbs appear in a high-level CLI/framework guide that mostly inventories Hermes capabilities, commands, and setup options, not in an unconstrained external-action workflow."
TPFPV1-0089,broad_external_action_without_approval,Broad external action without approval,repo-file,high,category1_top_instruction_repos,category1_top_instruction_repos/affaan-m__everything-claude-code,TP,FP,FP,medium,medium,high,medium,low,low,FP,split-2-1,"The Codex config-sync guidance can add managed MCP servers to user configuration, which is a real trust-boundary expansion.","Snippet is an inventory of external integrations (fal.ai, dmux, MCP servers) referenced as configuration baseline, not action instructions.","The matched action verbs appear in project guidance and config-merge policy rather than an imperative external-action workflow, not in an unconstrained external-action workflow."
TPFPV1-0090,broad_external_action_without_approval,Broad external action without approval,repo-file,high,category1_top_instruction_repos,category1_top_instruction_repos/affaan-m__everything-claude-code,TP,FP,FP,medium,medium,high,medium,low,low,FP,split-2-1,The search-first workflow does not stop at research; it tells the agent to install packages or configure MCP when a candidate is selected.,"search-first skill is a research-before-coding workflow; the listed external services (npm, PyPI, GitHub) are search targets, not action targets.","The matched action verbs appear in research-before-coding guidance that tells the agent to look for existing tools before implementing, not in an unconstrained external-action workflow."
TPFPV1-0091,broad_external_action_without_approval,Broad external action without approval,repo-file,high,category1_top_instruction_repos,category1_top_instruction_repos/affaan-m__everything-claude-code,TP,TP,TP,high,high,high,high,high,high,TP,unanimous,"The autonomous-agent harness supports persistent self-directed operation through schedules, webhooks, memory, and computer use.","autonomous-agent-harness skill explicitly transforms Claude Code into a 'fully autonomous agent system' with crons, dispatch via webhook, computer-use, and persistent memory.","The artifact operationally exposes scheduled, continuous, and remotely dispatched autonomous agent operations without a clear per-action approval step once the skill is in use."
TPFPV1-0092,broad_external_action_without_approval,Broad external action without approval,repo-file,high,category1_top_instruction_repos,category1_top_instruction_repos/affaan-m__everything-claude-code,TP,FP,FP,medium,medium,high,medium,low,low,FP,split-2-1,"The artifact instructs adoption by installing packages and configuring MCP, so it creates an unapproved dependency/tool expansion surface.","Snippet is an LLM-tooling inventory listing (Claude SDK, Context7, MCP servers, document-processing libraries), not action instructions.","The matched action verbs appear in research-before-coding guidance that tells the agent to look for existing tools before implementing, not in an unconstrained external-action workflow."
TPFPV1-0093,broad_external_action_without_approval,Broad external action without approval,repo-file,high,category1_top_instruction_repos,category1_top_instruction_repos/angular__angular,FP,FP,FP,high,high,high,medium,low,low,FP,unanimous,The Angular PR-review artifact has explicit controls forbidding commits/pushes and requiring approval before posting.,"angular/angular PR-Review AGENTS.md has explicit approval gates ('Require User Approval Before Posting'), 'Do NOT Commit or Push' rules, and AGENT: comment prefixing.","The matched action verbs appear in PR review instructions that explicitly require user approval before posting remote review comments, not in an unconstrained external-action workflow."
TPFPV1-0094,broad_external_action_without_approval,Broad external action without approval,repo-file,high,category1_top_instruction_repos,category1_top_instruction_repos/anthropics__claude-code,TP,FP,FP,medium,medium,high,medium,low,low,FP,split-2-1,"The MCP integration material teaches adding external tools and services, expanding the assistant’s trust boundary.","anthropics/claude-code MCP-Integration skill is a developer guide for plugin authors describing how to bundle MCP servers, not an action surface.","The matched action verbs appear in MCP integration reference material with configuration examples and security-oriented allowlist advice, not in an unconstrained external-action workflow."
TPFPV1-0095,broad_external_action_without_approval,Broad external action without approval,repo-file,high,category1_top_instruction_repos,category1_top_instruction_repos/microsoft__vscode,FP,FP,FP,high,high,high,low,low,low,FP,unanimous,"The VS Code material describes tool confirmation and permission plumbing, not unsafe broad action.","Microsoft/vscode integration architecture document describing the internal Copilot CLI session lifecycle, not a broad-action surface.","The matched action verbs appear in architecture and SDK-integration documentation that explicitly discusses permission handlers and approval flows, not in an unconstrained external-action workflow."
TPFPV1-0096,broad_external_action_without_approval,Broad external action without approval,repo-file,high,category2_agent_tooling,category2_agent_tooling/anthropics__claude-code,TP,FP,FP,medium,medium,high,medium,low,low,FP,split-2-1,"The MCP integration workflow can add external services and hosted tools, creating a real trust-boundary expansion.","Identical to 0094 — anthropics/claude-code MCP-Integration developer guide, mirrored into category2_agent_tooling.","The matched action verbs appear in MCP integration reference material with configuration examples and security-oriented allowlist advice, not in an unconstrained external-action workflow."
TPFPV1-0097,broad_external_action_without_approval,Broad external action without approval,repo-file,high,category3_custom_agents_instructions_skills,category3_custom_agents_instructions_skills/ComposioHQ__awesome-claude-skills,TP,TP,TP,high,high,high,high,high,high,TP,unanimous,The Customer.io automation skill can trigger marketing broadcasts and manage audience assets without visible send approvals.,Customer.io automation skill exposes broadcast-trigger tools that fire emails to customer lists with no approval gating or scoping.,The artifact operationally exposes Customer.io broadcast triggering and related account operations without a clear per-action approval step once the skill is in use.
TPFPV1-0113,broad_external_action_without_approval,Broad external action without approval,category-root,high,category4_surface_mentions,,UNCERTAIN,FP,UNCERTAIN,low,medium,low,medium,low,medium,UNCERTAIN,split-2-1,The collection-root broad-action record is too mixed to support a stable TP or FP.,Collection-scale finding cites 113.3% replication on broad-action-without-approval; bundled example (Azure azure-sdk-for-net AGENTS.md) explicitly forbids auto-merge and committing secrets.,"The category-root record suggests replicated broad external-action patterns, but the packet does not provide enough artifact-specific context to verify a stable canonical instance."
TPFPV1-0114,broad_external_action_without_approval,Broad external action without approval,repo-file,high,category4_surface_mentions,category4_surface_mentions/Galaxy-Dawn__claude-scholar,TP,FP,FP,medium,medium,high,medium,low,low,FP,split-2-1,The MCP integration guidance expands the agent’s available tools and external service reach.,"Identical to 0094 — mcp-integration developer guide, mirrored into Galaxy-Dawn/claude-scholar.","The matched action verbs appear in MCP integration/setup documentation with examples of external service configuration, not in an unconstrained external-action workflow."
TPFPV1-0115,broad_external_action_without_approval,Broad external action without approval,repo-file,high,category4_surface_mentions,category4_surface_mentions/Yeachan-Heo__oh-my-codex,FP,FP,FP,high,medium,high,low,low,low,FP,unanimous,The planning skill explicitly rejects autonomous end-to-end execution and requires scoping/approval.,"oh-my-codex skill snippet shows AskUserQuestion call and tool-discovery pattern, which is approval-aware.","The matched action verbs appear in a planning workflow that centers on asking the user questions, gathering facts, and outputting plans rather than executing them, not in an unconstrained external-action workflow."
TPFPV1-0116,broad_external_action_without_approval,Broad external action without approval,repo-file,high,category4_surface_mentions,category4_surface_mentions/danielmiessler__Personal_AI_Infrastructure,TP,TP,TP,high,high,high,high,medium,high,TP,unanimous,The Cloudflare deployment skill can publish workers/pages and change cloud state without a visible final deployment gate.,Cloudflare deploy skill in PAI executes `wrangler deploy` to production Cloudflare Workers/Pages with no per-deploy approval gate.,The artifact operationally exposes Cloudflare deployment actions and associated pre-action network calls without a clear per-action approval step once the skill is in use.
TPFPV1-0117,broad_external_action_without_approval,Broad external action without approval,repo-file,high,category4_surface_mentions,category4_surface_mentions/danielmiessler__Personal_AI_Infrastructure,TP,TP,TP,high,medium,high,high,medium,high,TP,unanimous,The BrightData workflow escalates from normal fetches to browser/proxy scraping without a clear approval gate.,BrightData scraping skill in PAI provides four-tier progressive scraping (WebFetch → Curl → Browser Automation → BrightData MCP) with auto-escalation for bot-detection bypass.,"The artifact operationally exposes multi-tier web scraping, crawling, and escalation to Bright Data with automatic fallback behavior without a clear per-action approval step once the skill is in use."
TPFPV1-0118,broad_external_action_without_approval,Broad external action without approval,repo-file,high,category4_surface_mentions,category4_surface_mentions/danielmiessler__Personal_AI_Infrastructure,TP,TP,TP,high,medium,high,high,medium,high,TP,unanimous,The scraping skill enables external crawling through BrightData/proxy mechanisms with weak visible mediation.,Same BrightData/scraping skill in PAI; this entry shows the four-tier progressive-scraping workflow with bot-bypass escalation.,"The artifact operationally exposes multi-tier web scraping, crawling, and escalation to Bright Data with automatic fallback behavior without a clear per-action approval step once the skill is in use."
TPFPV1-0121,broad_external_action_without_approval,Broad external action without approval,repo-file,high,category4_surface_mentions,category4_surface_mentions/davepoon__buildwithclaude,TP,FP,TP,medium,medium,medium,medium,low,medium,TP,split-2-1,"The X/Twitter skill supports paid extraction, monitoring, webhooks, and giveaway workflows without a strong approval model, but it appears mostly data-oriented rather than outbound posting.",Xquik skill is a Twitter data-extraction service with 22 read-oriented tools; no write actions on the X account were found in the file.,"The artifact operationally exposes creating extraction jobs, monitors, and webhooks against the Xquik/X platform without a clear per-action approval step once the skill is in use."
TPFPV1-0122,broad_external_action_without_approval,Broad external action without approval,repo-file,high,category4_surface_mentions,category4_surface_mentions/huggingface__skills,TP,TP,TP,high,high,high,high,high,high,TP,unanimous,The Hugging Face trainer submits paid cloud jobs and uses secrets by default.,Hugging Face training-job skill instructs 'You MUST create the training script AND submit the job immediately using hf_jobs()' for any train/fine-tune request — no cost confirmation.,The artifact operationally exposes submitting Hugging Face LLM training jobs to managed cloud infrastructure without a clear per-action approval step once the skill is in use.
TPFPV1-0123,broad_external_action_without_approval,Broad external action without approval,repo-file,high,category4_surface_mentions,category4_surface_mentions/huggingface__skills,TP,TP,TP,high,medium,high,high,medium,high,TP,unanimous,The vision trainer explicitly submits paid Hugging Face Jobs with write tokens and Hub persistence after collecting preferences.,"Same HF skill family — instructs jobs to be submitted via MCP with secrets passed in 'job secrets', no per-submit approval.",The artifact operationally exposes submitting Hugging Face vision training jobs to managed cloud infrastructure without a clear per-action approval step once the skill is in use.
TPFPV1-0151,broad_external_action_without_approval,Broad external action without approval,repo-file,high,category4_surface_mentions,category4_surface_mentions/wentorai__Research-Claw,TP,TP,TP,high,high,high,high,high,high,TP,unanimous,The IMAP/SMTP skill can read and send email with credentials and no visible approval model.,imap-smtp-email skill reads/sends from the user's real email accounts (Gmail/Outlook/etc.) with stored passwords and no per-send approval gate.,"The artifact operationally exposes sending, reading, and managing email over IMAP/SMTP without a clear per-action approval step once the skill is in use."
TPFPV1-0171,credential_or_pii_exposure_surface,Credential or PII exposure surface,category-root,critical,category4_surface_mentions,,UNCERTAIN,FP,UNCERTAIN,low,medium,low,medium,low,high,UNCERTAIN,split-2-1,"The collection-root credential/PII claim is not supported by the inspected examples, but the aggregate may omit decisive context.","Collection-scale aggregate has 113.3% replication on the SSN-harvesting sub-rule, indicating aggregator defect; bundled examples are routine project files.","The category-root record suggests replicated credential-collection / authentication-harvesting surfaces, but the packet does not provide enough artifact-specific context to verify a stable canonical instance."
TPFPV1-0192,identity_rewrite_with_persistent_effect,Persistent identity rewrite,repo-file,critical,category1_top_instruction_repos,category1_top_instruction_repos/NousResearch__hermes-agent,TP,TP,TP,high,high,high,high,high,high,TP,unanimous,The Hermes godmode skill is explicitly about bypassing safety filters and jailbreak-style model control.,godmode skill explicitly provides 'persistent jailbreaking' templates and Hermes-native config integration to bypass Claude/GPT/Gemini/Grok safety filters.,The skill explicitly writes jailbreak configuration into persistent Hermes files so later sessions inherit the modified identity/behavior.
TPFPV1-0193,identity_rewrite_with_persistent_effect,Persistent identity rewrite,repo-file,critical,category3_custom_agents_instructions_skills,category3_custom_agents_instructions_skills/NousResearch__hermes-agent,TP,TP,TP,high,high,high,high,high,high,TP,unanimous,The artifact operationalizes model safety bypass and role/prompt manipulation.,"Same godmode skill, replicated into category3_custom_agents_instructions_skills.",The skill explicitly writes jailbreak configuration into persistent Hermes files so later sessions inherit the modified identity/behavior.
TPFPV1-0194,identity_rewrite_with_persistent_effect,Persistent identity rewrite,repo-file,critical,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,FP,FP,FP,high,high,high,low,none,low,FP,unanimous,"The Portuguese security material mentions prompt injection and jailbreak as security topics, not as operational instructions.","sickn33 '007' security-audit skill matched on a Portuguese/English list of LLM security topics, not identity-rewrite content.","The file uses a security-review persona and domain checklist, but it does not instruct the agent to persistently rewrite its own identity or future-session configuration."
TPFPV1-0195,identity_rewrite_with_persistent_effect,Persistent identity rewrite,repo-file,critical,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,FP,FP,FP,high,high,high,low,none,low,FP,unanimous,"The mobile-security code discusses device root/jailbreak detection, not LLM identity rewriting.","sickn33 mobile-security-coder skill is a defensive listing of mobile security topics ('device fingerprinting, hardware-based authentication, root/jailbreak detection').","The file uses mobile secure-coding guidance and jailbreak-detection terminology, but it does not instruct the agent to persistently rewrite its own identity or future-session configuration."
TPFPV1-0196,identity_rewrite_with_persistent_effect,Persistent identity rewrite,repo-file,critical,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,FP,FP,FP,high,high,high,low,none,low,FP,unanimous,The security-hardening prompt uses jailbreak in the mobile-device sense and is defensive.,"Same sickn33 mobile-security-coder skill, repeated match on 'ProGuard/R8 obfuscation, anti-tampering, root/jailbreak detection'.","The file uses mobile/security hardening terminology inside a defensive security workflow, but it does not instruct the agent to persistently rewrite its own identity or future-session configuration."
TPFPV1-0197,identity_rewrite_with_persistent_effect,Persistent identity rewrite,repo-file,critical,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,FP,FP,FP,high,high,high,low,none,low,FP,unanimous,"The 007/security material is a defensive topic list, not an identity-rewrite workflow.",Same sickn33 '007' security-audit topic listing as 0194 (Portuguese/English mix).,"The file uses a security-review persona and domain checklist, but it does not instruct the agent to persistently rewrite its own identity or future-session configuration."
TPFPV1-0198,identity_rewrite_with_persistent_effect,Persistent identity rewrite,repo-file,critical,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,FP,FP,FP,high,high,high,low,none,low,FP,unanimous,The mobile-security evidence is about detecting rooted or jailbroken devices.,Same sickn33 mobile-security-coder defensive listing.,"The file uses mobile secure-coding guidance and jailbreak-detection terminology, but it does not instruct the agent to persistently rewrite its own identity or future-session configuration."
TPFPV1-0199,identity_rewrite_with_persistent_effect,Persistent identity rewrite,repo-file,critical,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,FP,FP,FP,high,high,high,low,none,low,FP,unanimous,The security-hardening content is defensive mobile guidance rather than model jailbreak guidance.,Same sickn33 mobile-security-coder defensive listing.,"The file uses mobile/security hardening terminology inside a defensive security workflow, but it does not instruct the agent to persistently rewrite its own identity or future-session configuration."
TPFPV1-0200,identity_rewrite_with_persistent_effect,Persistent identity rewrite,repo-file,critical,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,FP,FP,FP,high,high,high,low,none,low,FP,unanimous,The Portuguese security evidence names jailbreak as a security concern but does not operationalize it.,Same sickn33 '007' security-audit topic listing as 0194/0197 (Portuguese/English).,"The file uses a security-review persona and domain checklist, but it does not instruct the agent to persistently rewrite its own identity or future-session configuration."
TPFPV1-0201,identity_rewrite_with_persistent_effect,Persistent identity rewrite,repo-file,critical,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,FP,FP,FP,high,high,high,low,none,low,FP,unanimous,"The mobile-security artifact uses jailbreak terminology for device state, not AI prompt bypass.",Same sickn33 mobile-security-coder defensive listing.,"The file uses mobile secure-coding guidance and jailbreak-detection terminology, but it does not instruct the agent to persistently rewrite its own identity or future-session configuration."
TPFPV1-0202,identity_rewrite_with_persistent_effect,Persistent identity rewrite,repo-file,critical,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,FP,FP,FP,high,high,high,low,none,low,FP,unanimous,The cited security-hardening text is not an instruction to rewrite an agent identity.,"Same sickn33 mobile-security-coder defensive listing (ProGuard/R8 obfuscation, anti-tampering).","The file uses mobile/security hardening terminology inside a defensive security workflow, but it does not instruct the agent to persistently rewrite its own identity or future-session configuration."
TPFPV1-0213,prompt_or_instruction_override_surface,Prompt or instruction override surface,category-root,high,category4_surface_mentions,,FP,FP,UNCERTAIN,medium,medium,low,low,low,medium,FP,split-2-1,The collection-root dual-persona claim is not supported by the sampled ordinary docs and validation content.,"Collection-scale aggregate has multiple >100% replications (380%, 340%, 487%) indicating aggregator defects; the dual-response-persona-jailbreak sub-rule shows a plausible 8/15 = 53.3% but examples are routine course / template files.","The category-root record suggests replicated persona-jailbreak / prompt-override patterns, but the packet does not provide enough artifact-specific context to verify a stable canonical instance."
TPFPV1-0251,remote_fetch_or_install_expands_trust_boundary,Remote fetch or install expands trust boundary,category-root,critical,category4_surface_mentions,,TP,TP,UNCERTAIN,high,high,low,high,high,high,TP,split-2-1,The collection includes multiple curl/wget-to-shell installer patterns.,Collection-scale finding shows multiple genuine curl|sudo|bash patterns including `curl ... | sudo bash -s -- --system` across three example skills.,"The category-root record suggests replicated curl-pipe / remote-download execution patterns, but the packet does not provide enough artifact-specific context to verify a stable canonical instance."
TPFPV1-0252,remote_fetch_or_install_expands_trust_boundary,Remote fetch or install expands trust boundary,repo-file,critical,category4_surface_mentions,category4_surface_mentions/Galaxy-Dawn__claude-scholar,TP,TP,FP,medium,medium,high,medium,low,low,TP,split-2-1,"The uv installation instructions execute a remote installer script, a real but common trust-boundary expansion.",uv-package-manager skill instructs `curl -LsSf https://astral.sh/uv/install.sh | sh` — official uv installer.,"The curl-pipe pattern appears in a generic package-manager installation guide, not in a malicious or agent-specific unattended execution workflow."
TPFPV1-0258,remote_fetch_or_install_expands_trust_boundary,Remote fetch or install expands trust boundary,repo-file,critical,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,TP,TP,TP,medium,medium,high,high,medium,high,TP,unanimous,The cloud penetration-tool setup installs remote command-line tooling through fetched installers.,"cloud-penetration-testing skill instructs `curl https://sdk.cloud.google.com | bash` for GCP CLI install, with author-side `<!-- security-allowlist: curl-pipe-bash -->` marker.","The artifact contains a literal curl-pipe-to-shell installation command in operational instructions, which is the exact dangerous surface the finding names."
TPFPV1-0277,remote_fetch_or_install_expands_trust_boundary,Remote fetch or install expands trust boundary,repo-file,medium,category1_top_instruction_repos,category1_top_instruction_repos/affaan-m__everything-claude-code,FP,FP,FP,medium,high,high,medium,low,low,FP,unanimous,"The X API skill may post externally, but the remote-fetch/install finding is not supported by the cited evidence.","x-api skill snippet shows Twitter media-upload API call (POST upload.twitter.com/1.1/media/upload.json), not a remote-script-fetch.","The matched code is ordinary X API usage, not a remote script or SDK fetch being ingested as agent instructions or executable input."
TPFPV1-0286,ssrf_or_internal_service_reachability,SSRF or internal service reachability,repo-file,critical,category4_surface_mentions,category4_surface_mentions/Ed1s0nZ__CyberStrikeAI,TP,TP,FP,high,high,high,high,high,medium,TP,split-2-1,"The SSRF testing skill explicitly targets internal hosts, metadata endpoints, and bypass variants.",ssrf-testing skill explicitly lists IMDS metadata URLs and Redis/admin localhost variants for SSRF exploitation.,"The file lists cloud metadata URLs as SSRF targets, but it does not contain the IMDSv2 token-request pattern named by the finding."
TPFPV1-0332,tool_or_skill_poisoning_surface,Tool or skill poisoning surface,category-root,critical,category4_surface_mentions,,FP,FP,UNCERTAIN,medium,medium,low,low,low,high,FP,split-2-1,The collection-root memory/config examples are mostly defensive or approval-gated rather than tampering.,"Collection-scale aggregate has 113.3% replication on cross-tool-shadowing sub-rule and bundled examples (e.g. apfel/AGENTS.md, a Swift on-device LLM project) contain no memory-tampering content.","The category-root record suggests replicated memory/config-tampering or skill-compromise surfaces, but the packet does not provide enough artifact-specific context to verify a stable canonical instance."
