dataset_record_id,review_order,severity,scope_type,category,repo_key,finding_statement,material_index,stage2_label,stage2_confidence,stage2_harm_relevance,stage2_rationale_short,stage2_rationale_detailed,stage2_disconfirming_evidence,stage2_notes
TPFPV1-0065,18,high,repo-file,category2_agent_tooling,category2_agent_tooling/openai__codex,Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0065/material-index.json,TP,high,medium,"OpenAI Codex babysit-pr skill explicitly instructs continuous polling, per-loop patch/commit/push, and auto-resolution of review comments without per-action user confirmation.","The skill's frontmatter describes 'continuously polling review comments, CI checks/workflow runs, and mergeability state until the PR is merged/closed or user help is required ... auto-fix/push branch-related issues when appropriate.' The 15-step core workflow tells the agent to patch code locally, commit, and push on every loop iteration, with retries and auto-resolution. Stop conditions exist: 'user help required' branches for CI infrastructure issues, exhausted retries, permissions, or ambiguity, plus 'If unrelated uncommitted changes are present, stop and ask the user' (line 110), and a hard 3-retry budget for flaky failures. The default-autonomous direction (line 139: 'Do not stop to ask the user whether to continue polling') is real, but the surface is narrowly scoped to a single PR branch the user explicitly asked the agent to monitor. On re-audit, harm relevance is more accurately 'medium' than 'high' given the explicit stop-and-ask branches.",Stop conditions and a 3-retry budget for flaky failures provide some bounding.,harm_relevance corrected from 'high' to 'medium' after re-audit noted multiple stop-and-ask branches.
TPFPV1-0194,20,critical,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Persistent identity rewrite with future-session effect,materials/TPFPV1-0194/material-index.json,FP,high,none,"sickn33 '007' security-audit skill matched on a Portuguese/English list of LLM security topics, not identity-rewrite content.","The matched evidence is a topic listing inside a security-audit skill: 'Antifraude, idempotencia, webhooks financeiros / IA/Agentes: Prompt injection, jailbreak, isolamento, explosao de custo, LLM security / Compliance: OWASP Top 10.' The skill adopts a 'Chief Security Architect AI' persona which is soft persona framing, not persistent identity rewrite. There is no instruction to write to ~/.claude/, hermes config, or any future-session-affecting path. The hard=1, persist=1 counts come from incidental matches on topic names like 'jailbreak' (in a list of things to audit for) and the persona phrasing.",No actual write to a persistent config path; the persona is one-shot for this skill invocation.,
TPFPV1-0068,21,high,category-root,category4_surface_mentions,,[collection-scale] Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0068/material-index.json,UNCERTAIN,medium,medium,"Collection-scale aggregate has multiple >100% replication ratios indicating aggregator defects, but the named sub-rule (asamm.AD-02.autonomous-loop-with-writes) shows a plausible 4/15 = 26.7% replication.","The aggregate cites a 354/15 = 2360% replication for agent-resource-exhaustion-detection and 24/15 = 160% for runaway-agent-loop-detection — clearly broken counts. The asamm.AD-02 sub-rule shows a plausible 4/15 = 26.7%. The first bundled example (SwiftUI API-update skill) is read-oriented and writes only one local file when explicitly invoked, which would be a FP for that example. Without seeing the four flagged AD-02 files specifically, I cannot rule out that real autonomous-loop instances exist. Marking uncertain.",First bundled example is a read-oriented Apple-docs scanner that writes one local file only when explicitly invoked; >100% replication on sibling sub-rules undermines aggregator trust.,
TPFPV1-0258,22,critical,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Curl or wget piped to shell,materials/TPFPV1-0258/material-index.json,TP,medium,medium,"cloud-penetration-testing skill instructs `curl https://sdk.cloud.google.com | bash` for GCP CLI install, with author-side `<!-- security-allowlist: curl-pipe-bash -->` marker.","The skill embeds a real curl|bash for Google's GCP CLI installer. The author has acknowledged the pattern with a `<!-- security-allowlist: curl-pipe-bash -->` HTML comment, signaling intent to upstream linters. The skill is also marked `risk: offensive` and `AUTHORIZED USE ONLY`. The pattern is real but author-acknowledged and scoped to authorized pentesting — the harm relevance is moderate rather than high.",Author-side `security-allowlist` marker and AUTHORIZED-USE warning provide some scoping.,
TPFPV1-0113,23,high,category-root,category4_surface_mentions,,[collection-scale] Broad external-action surface without approval model,materials/TPFPV1-0113/material-index.json,FP,medium,low,Collection-scale finding cites 113.3% replication on broad-action-without-approval; bundled example (Azure azure-sdk-for-net AGENTS.md) explicitly forbids auto-merge and committing secrets.,"The aggregate's 17/15 = 113.3% replication ratio is mathematically impossible relative to the 15-skill cohort and signals an aggregator defect. The first bundled example (Azure/azure-sdk-for-net AGENTS.md) has explicit Safety Boundaries forbidding 'Auto-merge PRs', 'Commit Secrets', 'Bypass Security', 'Modify CI/CD Pipelines without explicit permission', and an AI-must-be-cautious-when list. These are textbook approval/scoping rules. The detector counted external-action surfaces but missed all the safety-boundary language. The collection-scale claim is unsubstantiated. [SELF-AUDIT NOTE: Confidence reduced from 'high' to 'medium'. The 'X/15 skills (Y%)' notation in the aggregator is genuinely ambiguous — X may be matches across files rather than skills with at least one match, in which case >100% is not strictly impossible. The substantive FP reasoning (defensive prose, polarity inversion, irrelevant code in bundled examples) still holds for the examples I saw, but I cannot rule out that the four-or-more files for the named sub-rule include real positives I did not examine.]",Bundled example contains explicit must-not lists and caution rules; >100% replication ratio undermines aggregator credibility.,
TPFPV1-0097,24,high,repo-file,category3_custom_agents_instructions_skills,category3_custom_agents_instructions_skills/ComposioHQ__awesome-claude-skills,Broad external-action surface without approval model,materials/TPFPV1-0097/material-index.json,TP,high,high,Customer.io automation skill exposes broadcast-trigger tools that fire emails to customer lists with no approval gating or scoping.,"The skill provides CUSTOMERIO_TRIGGER_BROADCAST which can target 'List of customer IDs', 'List of email addresses', segment filters, or arbitrary recipients with personalization data. Other tools include CUSTOMERIO_GET_MESSAGES, segment management, newsletter listing. There is no approval/consent/scope language in the file. Sending email broadcasts to customer lists is high-blast-radius (deliverability, reputation, regulatory). The skill assumes the agent will fire broadcasts when triggered.",There is a per-broadcast rate limit (1 req/10s) but no recipient-scope or approval gating.,
TPFPV1-0095,25,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/microsoft__vscode,Broad external-action surface without approval model,materials/TPFPV1-0095/material-index.json,FP,high,low,"Microsoft/vscode integration architecture document describing the internal Copilot CLI session lifecycle, not a broad-action surface.","The file documents the architecture of VS Code's Copilot CLI integration: CopilotCLISessionService, CopilotCLISession, MCP server in-process. It explains how VS Code Chat connects to the Copilot CLI SDK. The 'remote_action' matches came from descriptions of architecture elements ('Loads MCP server configuration', 'Proxies all VS Code-configured MCP servers'). This is descriptive prose for human/agent readers contributing to the codebase, not an action skill.","File is internal architecture documentation aimed at contributors, not an action playbook.",
TPFPV1-0192,26,critical,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/NousResearch__hermes-agent,Persistent identity rewrite with future-session effect,materials/TPFPV1-0192/material-index.json,TP,high,high,godmode skill explicitly provides 'persistent jailbreaking' templates and Hermes-native config integration to bypass Claude/GPT/Gemini/Grok safety filters.,"The skill name is 'godmode'. The frontmatter description includes 'Use when a user wants to bypass safety filters, jailbreak a model, or red-team model robustness.' The skill provides GODMODE CLASSIC system-prompt templates, PARSELTONGUE input obfuscation (33 techniques), and ULTRAPLINIAN multi-model racing. It explicitly says 'set up persistent jailbreaking in their Hermes config' which is the persistent identity rewrite the rule targets. This is an unambiguous TP for the persistent-identity-rewrite rule and high harm relevance.",None — the skill openly states its purpose is jailbreaking with persistent effect.,
TPFPV1-0116,27,high,repo-file,category4_surface_mentions,category4_surface_mentions/danielmiessler__Personal_AI_Infrastructure,Broad external-action surface without approval model,materials/TPFPV1-0116/material-index.json,TP,high,medium,Cloudflare deploy skill in PAI executes `wrangler deploy` to production Cloudflare Workers/Pages with no per-deploy approval gate.,"The skill instructs `wrangler deploy` for Workers and similar production deployments to Cloudflare. The MANDATORY voice notification fires before action, but a notification is not an approval gate — it is a logging/announcement step. Production deployments can have significant blast radius (taking down a worker, changing routes). The skill is set up to deploy when invoked.",A voice notification announces the deploy but does not gate it.,
TPFPV1-0087,28,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/NousResearch__hermes-agent,Broad external-action surface without approval model,materials/TPFPV1-0087/material-index.json,TP,high,high,"AgentMail skill explicitly gives the agent its own dedicated email inbox to 'send emails autonomously', sign up for services, and authenticate via email — no approval gate.","The skill says 'Give the agent its own dedicated email address ... Send emails autonomously on behalf of the agent ... Sign up for services or authenticate via email.' Eleven AgentMail tools are exposed via MCP including create_inbox, send_message, reply_to_message, forward_message. There is no per-action approval gate. The blast radius is significant: agent-controlled email identity can sign up for services, perform email-based authentication, and communicate with humans/other agents. This is a textbook broad-external-action surface.","The skill notes this is not for reading the user's personal email, narrowing scope to the agent's own AgentMail inbox.",
TPFPV1-0151,33,high,repo-file,category4_surface_mentions,category4_surface_mentions/wentorai__Research-Claw,Broad external-action surface without approval model,materials/TPFPV1-0151/material-index.json,TP,high,high,imap-smtp-email skill reads/sends from the user's real email accounts (Gmail/Outlook/etc.) with stored passwords and no per-send approval gate.,"The skill connects to the user's real Gmail, Outlook, QQ, 163 etc. accounts via IMAP/SMTP using passwords stored in ~/.config/imap-smtp-email/.env, then exposes read/search/manage/send capabilities. While ALLOWED_READ_DIRS / ALLOWED_WRITE_DIRS scope file attachments, there is no per-send approval gate for email composition. The agent could send email from the user's real account autonomously. Blast radius is high (real email identity, contact-list access, possible regulatory implications).",File-attachment paths are scoped via allowlist; the user must initially configure credentials.,
TPFPV1-0093,34,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/angular__angular,Broad external-action surface without approval model,materials/TPFPV1-0093/material-index.json,FP,high,low,"angular/angular PR-Review AGENTS.md has explicit approval gates ('Require User Approval Before Posting'), 'Do NOT Commit or Push' rules, and AGENT: comment prefixing.","Reading the file directly: the AGENTS.md has explicit safety rules — 'Require User Approval Before Posting: Prepare your review comments and present them to the user, alongside a summary of your completed checklist. Do NOT post comments to the PR without explicitly asking the user for permission first.' Also: 'Do NOT Commit or Push: Leave the changes uncommitted in the working directory so the user can easily review the pending edits locally.' And 'Never mark an external PR review as an approval unless explicitly instructed by a repo maintainer.' The detector counted ras_total=8 from references to GitHub MCP tools but missed all the explicit approval-gating language in the same file. This is a polarity-inversion FP.",Explicit 'Require User Approval Before Posting' and 'Do NOT Commit or Push' rules in the same file.,
TPFPV1-0059,38,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/Significant-Gravitas__AutoGPT,Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0059/material-index.json,TP,high,high,AutoGPT pr-address skill is a textbook autonomous loop that polls CI and review comments and pushes fixes 'until CI green and all comments resolved' without per-iteration gating.,"The skill frontmatter says 'Address PR review comments and loop until CI green and all comments resolved.' The workflow loops over both CI status and new comments in a single loop, modifying code, committing, and pushing. There is no per-write user-confirmation gate; the loop is intended to be agent-driven. This is one of the cleanest examples of the autonomous-loop-with-writes pattern in the dataset.","User-initiated invocation provides one outer consent step, but no per-iteration gating exists.",
TPFPV1-0252,40,critical,repo-file,category4_surface_mentions,category4_surface_mentions/Galaxy-Dawn__claude-scholar,Curl or wget piped to shell,materials/TPFPV1-0252/material-index.json,TP,medium,low,uv-package-manager skill instructs `curl -LsSf https://astral.sh/uv/install.sh | sh` — official uv installer.,"Real curl|sh pattern, but to the official Astral/uv installer URL. Real surface but low harm relevance because the install URL is well-known and the skill is a one-time package-manager setup. This is the documented vendor-supported install method.",URL is the official Astral installer; no agent-controlled redirection.,
TPFPV1-0064,41,high,repo-file,category2_agent_tooling,category2_agent_tooling/Significant-Gravitas__AutoGPT,Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0064/material-index.json,TP,high,high,"Same pr-address skill content as TPFPV1-0059, replicated in AutoGPT category2_agent_tooling.","Identical autonomous-loop-with-writes content as 0059, observed in a second category. The skill loops over CI status and review comments, pushing fixes until CI is green. No per-write gate exists. This is a real autonomous-write surface with broad blast radius (modifies and pushes to PR branches automatically).",Same as 0059.,
TPFPV1-0118,42,high,repo-file,category4_surface_mentions,category4_surface_mentions/danielmiessler__Personal_AI_Infrastructure,Broad external-action surface without approval model,materials/TPFPV1-0118/material-index.json,TP,medium,medium,Same BrightData/scraping skill in PAI; this entry shows the four-tier progressive-scraping workflow with bot-bypass escalation.,"Same evidence as 0117. Progressive scraping with auto-escalation, no scoping/approval gates. Cost/ToS/reputation risk from bot-bypass scraping.",Same as 0117.,
TPFPV1-0090,47,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/affaan-m__everything-claude-code,Broad external-action surface without approval model,materials/TPFPV1-0090/material-index.json,FP,medium,low,"search-first skill is a research-before-coding workflow; the listed external services (npm, PyPI, GitHub) are search targets, not action targets.","The skill is a 'research before you code' workflow that searches npm/PyPI/MCP/Skills/GitHub before writing custom code. The phases are need analysis, parallel search, evaluation, decision, implementation. The matched 'remote_action' phrases are the names of registries searched for existing libraries, not external actions performed by the agent. The skill output is a recommendation about which library to adopt; it does not autonomously install or execute anything beyond the user's local repo.",Workflow is read-oriented (search registries) rather than write/external-action-oriented.,
TPFPV1-0199,49,critical,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Persistent identity rewrite with future-session effect,materials/TPFPV1-0199/material-index.json,FP,high,none,Same sickn33 mobile-security-coder defensive listing.,Same as 0195.,Same as 0195.,
TPFPV1-0202,50,critical,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Persistent identity rewrite with future-session effect,materials/TPFPV1-0202/material-index.json,FP,high,none,"Same sickn33 mobile-security-coder defensive listing (ProGuard/R8 obfuscation, anti-tampering).",Same as 0195/0196.,Same as 0195.,
TPFPV1-0088,57,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/NousResearch__hermes-agent,Broad external-action surface without approval model,materials/TPFPV1-0088/material-index.json,TP,high,high,"hermes-agent meta-skill describes a framework with 'webhook triggers, cron scheduling, and the full Python ecosystem' running multi-platform with full system access.","The skill is the umbrella description for the Hermes Agent framework: 'multi-platform gateway — the same agent runs on Telegram, Discord, Slack, WhatsApp, Signal, Matrix, Email ... with full tool access' and 'extensible — plugins, MCP servers, custom tools, webhook triggers, cron scheduling.' The framework itself enables broad external action across many channels. While this is more descriptive than imperative, it advertises and configures a pervasive external-action surface with no scoping/approval framing in the file.",Descriptive in tone rather than directive; specific actions are described in sub-skills.,
TPFPV1-0121,60,high,repo-file,category4_surface_mentions,category4_surface_mentions/davepoon__buildwithclaude,Broad external-action surface without approval model,materials/TPFPV1-0121/material-index.json,FP,medium,low,Xquik skill is a Twitter data-extraction service with 22 read-oriented tools; no write actions on the X account were found in the file.,"On re-audit, I grepped the full skill for write-action verbs (POST tweet, create tweet, send DM, follow, like, retweet) and found zero hits — the only POST endpoints are /extractions/estimate and /extractions/ which create a server-side scraping job, not write to X. The 22 tools are extractors: reply_extractor, repost_extractor, post_extractor (extracts posts FROM an account), community_post_extractor, etc. Account monitoring with HMAC webhooks is inbound notification, not write. The detector counted 14 remote-action phrases on the names of these extraction tools, but the operational meaning is read-only data collection. The skill does require a paid Xquik subscription, so it has cost implications, but no broad external-action surface in the security sense.",Service is paid and rate-limited (10 req/s) which still gives the skill some external-call surface.,Corrected from UNCERTAIN to FP after honest re-audit confirmed zero write actions.
TPFPV1-0122,62,high,repo-file,category4_surface_mentions,category4_surface_mentions/huggingface__skills,Broad external-action surface without approval model,materials/TPFPV1-0122/material-index.json,TP,high,high,Hugging Face training-job skill instructs 'You MUST create the training script AND submit the job immediately using hf_jobs()' for any train/fine-tune request — no cost confirmation.,"Key Directive #1: 'If user asks to ""train a model"", ""fine-tune"", or similar requests, you MUST create the training script AND submit the job immediately using hf_jobs().' This submits paid GPU compute jobs to HF infrastructure without confirming hardware tier, expected duration, or cost with the user. The blast radius is real (potentially thousands of dollars per job, hours-to-days runtime) and the directive removes the natural pause for user confirmation of cost/hardware.",User-initiated invocation is implicit consent for some training run; the skill does prescribe Trackio monitoring.,
TPFPV1-0277,64,medium,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/affaan-m__everything-claude-code,Remote SDK or script fetch as agent input,materials/TPFPV1-0277/material-index.json,FP,high,low,"x-api skill snippet shows Twitter media-upload API call (POST upload.twitter.com/1.1/media/upload.json), not a remote-script-fetch.","The matched evidence is a Python OAuth POST to Twitter's media upload endpoint, sending a binary image file. The 'remote SDK or script fetch' rule appears to have matched on the `https://upload.twitter.com/...` URL, but the operation is uploading a media file, not fetching/executing a remote script. Categorical FP.","Operation is media upload (POST with files=), not script fetch (GET .sh).",
TPFPV1-0094,65,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/anthropics__claude-code,Broad external-action surface without approval model,materials/TPFPV1-0094/material-index.json,FP,medium,low,"anthropics/claude-code MCP-Integration skill is a developer guide for plugin authors describing how to bundle MCP servers, not an action surface.","The skill teaches plugin authors how to configure MCP servers in plugin.json or .mcp.json. The 43 'remote_action' counts came from descriptions of MCP server capabilities (databases, APIs, file systems) that plugin authors might integrate. The agent invoking this skill helps a developer write a plugin spec; it does not perform external actions itself. Documentation/authoring skills should not trigger broad-external-action findings.","Skill audience is plugin developers; outputs are configuration files, not external API calls.",
TPFPV1-0193,66,critical,repo-file,category3_custom_agents_instructions_skills,category3_custom_agents_instructions_skills/NousResearch__hermes-agent,Persistent identity rewrite with future-session effect,materials/TPFPV1-0193/material-index.json,TP,high,high,"Same godmode skill, replicated into category3_custom_agents_instructions_skills.",Same skill content and rationale as 0192. Persistent jailbreak skill targeting Claude/GPT/Gemini/Grok with system-prompt templates and Hermes config persistence.,Same as 0192.,
TPFPV1-0114,67,high,repo-file,category4_surface_mentions,category4_surface_mentions/Galaxy-Dawn__claude-scholar,Broad external-action surface without approval model,materials/TPFPV1-0114/material-index.json,FP,medium,low,"Identical to 0094 — mcp-integration developer guide, mirrored into Galaxy-Dawn/claude-scholar.",Same skill content as 0094 and 0096. Documentation/authoring skill describing how to bundle MCP servers in a plugin. Not an action surface.,Same as 0094.,
TPFPV1-0373,69,critical,category-root,category4_surface_mentions,,[collection-scale] Remote Code Execution via eval() and Dynamic Code Injection,materials/TPFPV1-0373/material-index.json,FP,medium,low,Collection-scale aggregate has 506% and 93% replications on shell-meta and stealth-execution sub-rules; the named eval-injection sub-rule is 3/15 = 20% but bundled examples include eval-injection-skill TEST FIXTURES.,"The aggregate's 506% replication on shell-metacharacter-injection is mathematically impossible. The named sub-rule (atr.privilege-escalation.remote-code-execution-via-eval-and-dynamic-code-injection) shows 3/15 = 20%, but the example list includes `rohitg00__skillkit/.../fixtures/eval-injection-skill/SKILL.md` — a TEST FIXTURE intentionally containing the pattern for the rule to find. Test fixtures are not real eval injections. The other examples (semgrep-rule-creator, jeremy-vertex-ai backup) are also tooling-internal rather than operational eval-injection skills. The collection-scale claim is overstated. [SELF-AUDIT NOTE: Confidence reduced from 'high' to 'medium'. The 'X/15 skills (Y%)' notation in the aggregator is genuinely ambiguous — X may be matches across files rather than skills with at least one match, in which case >100% is not strictly impossible. The substantive FP reasoning (defensive prose, polarity inversion, irrelevant code in bundled examples) still holds for the examples I saw, but I cannot rule out that the four-or-more files for the named sub-rule include real positives I did not examine.]",Test-fixture bundling and >100% sibling replications undermine the claim.,
TPFPV1-0213,70,high,category-root,category4_surface_mentions,,[collection-scale] Dual-Response Persona Jailbreak,materials/TPFPV1-0213/material-index.json,FP,medium,low,"Collection-scale aggregate has multiple >100% replications (380%, 340%, 487%) indicating aggregator defects; the dual-response-persona-jailbreak sub-rule shows a plausible 8/15 = 53.3% but examples are routine course / template files.","The aggregate cites 380% replication for system-prompt-override-injection-via-mcp-tool, 340% for indirect-prompt-injection-via-external-content, and 487% for indirect-reference-instruction-reversal — all impossible relative to the 15-skill cohort. The dual-response-persona-jailbreak sub-rule shows a plausible 53.3% but the bundled examples (Priivacy AI spec-kitty AGENTS.md, claude-code-pm-course CLAUDE.md) are coherent course materials and template files. Like other collection-scale defects, this aggregate is unreliable. [SELF-AUDIT NOTE: Confidence reduced from 'high' to 'medium'. The 'X/15 skills (Y%)' notation in the aggregator is genuinely ambiguous — X may be matches across files rather than skills with at least one match, in which case >100% is not strictly impossible. The substantive FP reasoning (defensive prose, polarity inversion, irrelevant code in bundled examples) still holds for the examples I saw, but I cannot rule out that the four-or-more files for the named sub-rule include real positives I did not examine.]",>100% replications across multiple sub-rules; bundled examples are educational/template files.,
TPFPV1-0200,71,critical,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Persistent identity rewrite with future-session effect,materials/TPFPV1-0200/material-index.json,FP,high,none,Same sickn33 '007' security-audit topic listing as 0194/0197 (Portuguese/English).,Same as 0194.,Same as 0194.,
TPFPV1-0096,72,high,repo-file,category2_agent_tooling,category2_agent_tooling/anthropics__claude-code,Broad external-action surface without approval model,materials/TPFPV1-0096/material-index.json,FP,medium,low,"Identical to 0094 — anthropics/claude-code MCP-Integration developer guide, mirrored into category2_agent_tooling.","Same skill content as 0094, observed in a second category. Documentation/authoring skill, not action surface.",Same as 0094.,
TPFPV1-0286,73,critical,repo-file,category4_surface_mentions,category4_surface_mentions/Ed1s0nZ__CyberStrikeAI,AWS IMDS token request,materials/TPFPV1-0286/material-index.json,TP,high,high,ssrf-testing skill explicitly lists IMDS metadata URLs and Redis/admin localhost variants for SSRF exploitation.,"The skill's content includes `http://169.254.169.254/latest/meta-data/iam/security-credentials/` (AWS IMDSv1 credentials), `http://metadata.google.internal/computeMetadata/v1/` (GCP metadata), Redis localhost URLs, and SSRF bypass variants (octal/hex/decimal IP encoding, xip.io, redirect chains). This is operational SSRF/credential-extraction tooling. Marked as offensive but no scoping/authorization gate exists in the file itself.","Skill is framed as pentesting; users are expected to have authorization, but this is not enforced in-skill.",
