dataset_record_id,review_order,stage2_target,severity,scope_type,category,repo_key,finding_statement,finding_summary,material_index,record_summary,review_label,review_confidence,review_harm_relevance,reviewer_id,review_round,rationale_short,rationale_detailed,disconfirming_evidence,additional_evidence_needed,notes
TPFPV1-0082,11,True,high,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Autonomous loop performs write actions with weak approval framing,"Skill describes continuous/automatic loop (autonomy markers=2 distinct, 3 total) that performs write actions (commit/push/patch, 2 distinct). Autonomy framing dominates approval framing (3.0:1 ratio). Review stop conditions and per-write confirmation gates.",materials/TPFPV1-0082/material-index.json,materials/TPFPV1-0082/record-summary.md,TP,high,high,claude-independent-reviewer,1,Same iterate-pr style autonomous-loop-with-writes skill in sickn33 cohort (third instance).,Same evidence pattern as 0078/0080.,Same as 0078.,None additional needed.,
TPFPV1-0172,12,False,critical,repo-file,category4_surface_mentions,category4_surface_mentions/KhazP__vibe-coding-prompt-template,Skill instructions to collect Social Security Numbers or national ID numbers. Th,[cisco-promptguard] Skill instructions to collect Social Security Numbers or national ID numbers. Th — matched in .claude/skills/vibe-agents/SKILL.md,materials/TPFPV1-0172/material-index.json,materials/TPFPV1-0172/record-summary.md,FP,high,none,claude-independent-reviewer,1,"vibe-agents skill snippet is generic agent best-practice rules ('Identify Intent First', 'Ask If Unsure', 'Plan Before Coding'), not SSN-collection.","The matched evidence is three numbered rules of agent behavior: clarify intent, ask if unsure, plan before coding. These are universal soft-skill bullets for AI agents, with zero PII content. The detector matched on the structure or vocabulary in some unrelated way.",Text is unambiguously agent-behavior best practices.,None additional needed.,
TPFPV1-0251,13,True,critical,category-root,category4_surface_mentions,,[collection-scale] Curl or wget piped to shell,[COLLECTION-SCALE] Same rule fires in 10/15 (67%) skills under cohort 'category4_surface_mentions'. This is an architectural replication pattern — the rule triggers because a single template is reused across the collection. Original rule: Curl or wget piped to shell,materials/TPFPV1-0251/material-index.json,materials/TPFPV1-0251/aggregate-summary.md,TP,high,high,claude-independent-reviewer,1,Collection-scale finding shows multiple genuine curl|sudo|bash patterns including `curl ... | sudo bash -s -- --system` across three example skills.,"The bundled examples include real curl|bash patterns: `curl -fsSL .../install.sh?$(date +%s) | bash`, `curl ... | sudo bash -s -- --system`, `curl ... | bash -s -- --port 9000 --yes`, and `curl -sSL .../install.sh | bash`. Multiple skills (destructive_command_guard, mcp_agent_mail, ultimate_bug_scanner) embed these install patterns. The collection-scale claim is substantiated by direct evidence in the bundled examples.",Some installs are one-time setup and from named-author GitHub URLs.,None additional needed.,
TPFPV1-0066,14,True,high,repo-file,category3_custom_agents_instructions_skills,category3_custom_agents_instructions_skills/NousResearch__hermes-agent,Autonomous loop performs write actions with weak approval framing,"Skill describes continuous/automatic loop (autonomy markers=2 distinct, 2 total) that performs write actions (commit/push/patch, 1 distinct). Autonomy framing dominates approval framing (2.0:1 ratio). Review stop conditions and per-write confirmation gates.",materials/TPFPV1-0066/material-index.json,materials/TPFPV1-0066/record-summary.md,TP,medium,medium,claude-independent-reviewer,1,"research-paper-writing skill embeds a cron-monitor template that ends in `git add -A && git commit -m '...' && git push`, executed unattended.","The skill's Section 3.2 'Set Up Monitoring (Cron Pattern)' provides a template that the cron prompt instructs the agent to execute: ps aux check, tail logs, check for results, then if done, commit and push. Section 3.4 also instructs 'After each experiment batch completes' to commit and push. These are unattended write actions. Blast radius is narrow (the user's research repo) but the loop-with-writes pattern is genuine.","Writes are scoped to the user's research repo; the user invokes the cron, providing outer consent.",Confirm whether the cron pattern includes any per-batch user confirmation.,
TPFPV1-0091,15,True,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/affaan-m__everything-claude-code,Broad external-action surface without approval model,"Skill declares broad external-action capabilities (remote_action phrases total=4, external_reply=0, write_action=0) with no approval / scoping / consent language in the same file. Actions will execute without per-action user confirmation.",materials/TPFPV1-0091/material-index.json,materials/TPFPV1-0091/record-summary.md,TP,high,high,claude-independent-reviewer,1,"autonomous-agent-harness skill explicitly transforms Claude Code into a 'fully autonomous agent system' with crons, dispatch via webhook, computer-use, and persistent memory.","The skill states 'Transform Claude Code into a fully autonomous agent system ... persistent memory, scheduled operations, computer use, and task queuing.' Example crons review PRs daily, run nightly test suites, and monitor production hourly. Dispatch examples include 'GitHub webhook → dispatch → Claude agent → fix → PR.' The harness combines computer-use MCP, scheduled-tasks MCP, and memory MCP for unattended operation. There are no approval gates anywhere in the design. Blast radius is very high.",The harness is described as a setup guide; the user must intentionally configure each cron/dispatch.,None additional needed.,
TPFPV1-0351,16,False,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/affaan-m__everything-claude-code,MCP Skill Impersonation and Supply Chain Attack,[atr] MCP Skill Impersonation and Supply Chain Attack — matched in skills/perl-testing/SKILL.md,materials/TPFPV1-0351/material-index.json,materials/TPFPV1-0351/record-summary.md,FP,high,none,claude-independent-reviewer,1,perl-testing/SKILL.md snippet is Perl Test2::V0 framework documentation ('modern replacement for Test::More').,"Matched text is 'Test2::V0 is the modern replacement for Test::More — richer assertions, better diagnostics.' This is a Perl unit-testing framework recommendation. The detector flagged 'modern replacement' as if Test2::V0 were impersonating an MCP tool. Categorical FP.",Text is Perl-testing framework documentation.,None additional needed.,
TPFPV1-0332,17,True,critical,category-root,category4_surface_mentions,,[collection-scale] Agent Memory and Configuration File Tampering,[COLLECTION-SCALE] Same rule fires in 6/15 (40%) skills under cohort 'category4_surface_mentions'. This is an architectural replication pattern — the rule triggers because a single template is reused across the collection. Original rule: Agent Memory and Configuration File Tampering,materials/TPFPV1-0332/material-index.json,materials/TPFPV1-0332/aggregate-summary.md,FP,medium,low,claude-independent-reviewer,1,"Collection-scale aggregate has 113.3% replication on cross-tool-shadowing sub-rule and bundled examples (e.g. apfel/AGENTS.md, a Swift on-device LLM project) contain no memory-tampering content.","The aggregate's 113.3% replication on the IMPORTANT-tag cross-tool-shadowing sub-rule is impossible relative to the 15-skill cohort. The first bundled example, apfel/AGENTS.md, is a Swift/Hummingbird on-device LLM project with no memory-tampering content (a grep for memory/config/tamper terms returns nothing). The collection-scale finding is unsubstantiated. [SELF-AUDIT NOTE: Confidence reduced from 'high' to 'medium'. The 'X/15 skills (Y%)' notation in the aggregator is genuinely ambiguous — X may be matches across files rather than skills with at least one match, in which case >100% is not strictly impossible. The substantive FP reasoning (defensive prose, polarity inversion, irrelevant code in bundled examples) still holds for the examples I saw, but I cannot rule out that the four-or-more files for the named sub-rule include real positives I did not examine.]",Bundled apfel/AGENTS.md contains no memory-tampering language.,Audit aggregator counting; verify by grepping each example for actual tampering language.,
TPFPV1-0065,18,True,high,repo-file,category2_agent_tooling,category2_agent_tooling/openai__codex,Autonomous loop performs write actions with weak approval framing,"Skill describes continuous/automatic loop (autonomy markers=8 distinct, 35 total) that performs write actions (commit/push/patch, 4 distinct). Autonomy framing dominates approval framing (2.7:1 ratio). Review stop conditions and per-write confirmation gates.",materials/TPFPV1-0065/material-index.json,materials/TPFPV1-0065/record-summary.md,TP,high,medium,claude-independent-reviewer,1,"OpenAI Codex babysit-pr skill explicitly instructs continuous polling, per-loop patch/commit/push, and auto-resolution of review comments without per-action user confirmation.","The skill's frontmatter describes 'continuously polling review comments, CI checks/workflow runs, and mergeability state until the PR is merged/closed or user help is required ... auto-fix/push branch-related issues when appropriate.' The 15-step core workflow tells the agent to patch code locally, commit, and push on every loop iteration, with retries and auto-resolution. Stop conditions exist: 'user help required' branches for CI infrastructure issues, exhausted retries, permissions, or ambiguity, plus 'If unrelated uncommitted changes are present, stop and ask the user' (line 110), and a hard 3-retry budget for flaky failures. The default-autonomous direction (line 139: 'Do not stop to ask the user whether to continue polling') is real, but the surface is narrowly scoped to a single PR branch the user explicitly asked the agent to monitor. On re-audit, harm relevance is more accurately 'medium' than 'high' given the explicit stop-and-ask branches.",Stop conditions and a 3-retry budget for flaky failures provide some bounding.,None additional needed.,harm_relevance corrected from 'high' to 'medium' after re-audit noted multiple stop-and-ask branches.
TPFPV1-0207,19,False,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/microsoft__vscode,Indirect Prompt Injection via External Content,[atr] Indirect Prompt Injection via External Content — matched in extensions/copilot/src/extension/chatSessions/claude/AGENTS.md,materials/TPFPV1-0207/material-index.json,materials/TPFPV1-0207/record-summary.md,FP,high,none,claude-independent-reviewer,1,microsoft/vscode AGENTS.md hyperlink list to docs.claude.com pages flagged as indirect prompt injection.,"The matched evidence is a documentation hyperlink list: '[Modifying System Prompts](https://platform.claude.com/docs/en/agent-sdk/modifying-system-prompts) - Customize Claude's behavior and instructions'. This is a link to legitimate Anthropic documentation about the Agent SDK's prompt-modification feature. The detector matched on 'Modifying System Prompts' and 'Customize Claude's behavior and instructions' as if these were prompt-injection payloads, but they are documentation page titles.",Text is a hyperlink list pointing to platform.claude.com docs.,None additional needed.,
TPFPV1-0194,20,True,critical,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Persistent identity rewrite with future-session effect,"Identity-rewrite language combined with persistent config write path in the same file: hard=1, persist=1. Future sessions will execute under the rewritten identity.",materials/TPFPV1-0194/material-index.json,materials/TPFPV1-0194/record-summary.md,FP,high,none,claude-independent-reviewer,1,"sickn33 '007' security-audit skill matched on a Portuguese/English list of LLM security topics, not identity-rewrite content.","The matched evidence is a topic listing inside a security-audit skill: 'Antifraude, idempotencia, webhooks financeiros / IA/Agentes: Prompt injection, jailbreak, isolamento, explosao de custo, LLM security / Compliance: OWASP Top 10.' The skill adopts a 'Chief Security Architect AI' persona which is soft persona framing, not persistent identity rewrite. There is no instruction to write to ~/.claude/, hermes config, or any future-session-affecting path. The hard=1, persist=1 counts come from incidental matches on topic names like 'jailbreak' (in a list of things to audit for) and the persona phrasing.",No actual write to a persistent config path; the persona is one-shot for this skill invocation.,Tighten persistent-identity-rewrite rule to require both rewrite verbs AND a real config-write path in the same instruction.,
TPFPV1-0068,21,True,high,category-root,category4_surface_mentions,,[collection-scale] Autonomous loop performs write actions with weak approval framing,[COLLECTION-SCALE] Same rule fires in 4/15 (27%) skills under cohort 'category4_surface_mentions'. This is an architectural replication pattern — the rule triggers because a single template is reused across the collection. Original rule: Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0068/material-index.json,materials/TPFPV1-0068/aggregate-summary.md,UNCERTAIN,medium,medium,claude-independent-reviewer,1,"Collection-scale aggregate has multiple >100% replication ratios indicating aggregator defects, but the named sub-rule (asamm.AD-02.autonomous-loop-with-writes) shows a plausible 4/15 = 26.7% replication.","The aggregate cites a 354/15 = 2360% replication for agent-resource-exhaustion-detection and 24/15 = 160% for runaway-agent-loop-detection — clearly broken counts. The asamm.AD-02 sub-rule shows a plausible 4/15 = 26.7%. The first bundled example (SwiftUI API-update skill) is read-oriented and writes only one local file when explicitly invoked, which would be a FP for that example. Without seeing the four flagged AD-02 files specifically, I cannot rule out that real autonomous-loop instances exist. Marking uncertain.",First bundled example is a read-oriented Apple-docs scanner that writes one local file only when explicitly invoked; >100% replication on sibling sub-rules undermines aggregator trust.,Audit aggregator counting; provide the 4 specific AD-02 example files for direct examination.,
TPFPV1-0258,22,True,critical,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Curl or wget piped to shell,[aguara] Curl or wget piped to shell — matched in plugins/antigravity-awesome-skills-claude/skills/cloud-penetration-testing/SKILL.md,materials/TPFPV1-0258/material-index.json,materials/TPFPV1-0258/record-summary.md,TP,medium,medium,claude-independent-reviewer,1,"cloud-penetration-testing skill instructs `curl https://sdk.cloud.google.com | bash` for GCP CLI install, with author-side `<!-- security-allowlist: curl-pipe-bash -->` marker.","The skill embeds a real curl|bash for Google's GCP CLI installer. The author has acknowledged the pattern with a `<!-- security-allowlist: curl-pipe-bash -->` HTML comment, signaling intent to upstream linters. The skill is also marked `risk: offensive` and `AUTHORIZED USE ONLY`. The pattern is real but author-acknowledged and scoped to authorized pentesting — the harm relevance is moderate rather than high.",Author-side `security-allowlist` marker and AUTHORIZED-USE warning provide some scoping.,None additional needed.,
TPFPV1-0113,23,True,high,category-root,category4_surface_mentions,,[collection-scale] Broad external-action surface without approval model,[COLLECTION-SCALE] Same rule fires in 17/15 (113%) skills under cohort 'category4_surface_mentions'. This is an architectural replication pattern — the rule triggers because a single template is reused across the collection. Original rule: Broad external-action surface without approval model,materials/TPFPV1-0113/material-index.json,materials/TPFPV1-0113/aggregate-summary.md,FP,medium,low,claude-independent-reviewer,1,Collection-scale finding cites 113.3% replication on broad-action-without-approval; bundled example (Azure azure-sdk-for-net AGENTS.md) explicitly forbids auto-merge and committing secrets.,"The aggregate's 17/15 = 113.3% replication ratio is mathematically impossible relative to the 15-skill cohort and signals an aggregator defect. The first bundled example (Azure/azure-sdk-for-net AGENTS.md) has explicit Safety Boundaries forbidding 'Auto-merge PRs', 'Commit Secrets', 'Bypass Security', 'Modify CI/CD Pipelines without explicit permission', and an AI-must-be-cautious-when list. These are textbook approval/scoping rules. The detector counted external-action surfaces but missed all the safety-boundary language. The collection-scale claim is unsubstantiated. [SELF-AUDIT NOTE: Confidence reduced from 'high' to 'medium'. The 'X/15 skills (Y%)' notation in the aggregator is genuinely ambiguous — X may be matches across files rather than skills with at least one match, in which case >100% is not strictly impossible. The substantive FP reasoning (defensive prose, polarity inversion, irrelevant code in bundled examples) still holds for the examples I saw, but I cannot rule out that the four-or-more files for the named sub-rule include real positives I did not examine.]",Bundled example contains explicit must-not lists and caution rules; >100% replication ratio undermines aggregator credibility.,Audit aggregator; tighten the broad-action-without-approval rule to weight explicit must-not / require-approval language.,
TPFPV1-0097,24,True,high,repo-file,category3_custom_agents_instructions_skills,category3_custom_agents_instructions_skills/ComposioHQ__awesome-claude-skills,Broad external-action surface without approval model,"Skill declares broad external-action capabilities (remote_action phrases total=4, external_reply=0, write_action=1) with no approval / scoping / consent language in the same file. Actions will execute without per-action user confirmation.",materials/TPFPV1-0097/material-index.json,materials/TPFPV1-0097/record-summary.md,TP,high,high,claude-independent-reviewer,1,Customer.io automation skill exposes broadcast-trigger tools that fire emails to customer lists with no approval gating or scoping.,"The skill provides CUSTOMERIO_TRIGGER_BROADCAST which can target 'List of customer IDs', 'List of email addresses', segment filters, or arbitrary recipients with personalization data. Other tools include CUSTOMERIO_GET_MESSAGES, segment management, newsletter listing. There is no approval/consent/scope language in the file. Sending email broadcasts to customer lists is high-blast-radius (deliverability, reputation, regulatory). The skill assumes the agent will fire broadcasts when triggered.",There is a per-broadcast rate limit (1 req/10s) but no recipient-scope or approval gating.,None additional needed.,
TPFPV1-0095,25,True,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/microsoft__vscode,Broad external-action surface without approval model,"Skill declares broad external-action capabilities (remote_action phrases total=3, external_reply=0, write_action=2) with no approval / scoping / consent language in the same file. Actions will execute without per-action user confirmation.",materials/TPFPV1-0095/material-index.json,materials/TPFPV1-0095/record-summary.md,FP,high,low,claude-independent-reviewer,1,"Microsoft/vscode integration architecture document describing the internal Copilot CLI session lifecycle, not a broad-action surface.","The file documents the architecture of VS Code's Copilot CLI integration: CopilotCLISessionService, CopilotCLISession, MCP server in-process. It explains how VS Code Chat connects to the Copilot CLI SDK. The 'remote_action' matches came from descriptions of architecture elements ('Loads MCP server configuration', 'Proxies all VS Code-configured MCP servers'). This is descriptive prose for human/agent readers contributing to the codebase, not an action skill.","File is internal architecture documentation aimed at contributors, not an action playbook.",None additional needed.,
TPFPV1-0192,26,True,critical,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/NousResearch__hermes-agent,Persistent identity rewrite with future-session effect,"Identity-rewrite language combined with persistent config write path in the same file: hard=2, persist=6. Future sessions will execute under the rewritten identity.",materials/TPFPV1-0192/material-index.json,materials/TPFPV1-0192/record-summary.md,TP,high,high,claude-independent-reviewer,1,godmode skill explicitly provides 'persistent jailbreaking' templates and Hermes-native config integration to bypass Claude/GPT/Gemini/Grok safety filters.,"The skill name is 'godmode'. The frontmatter description includes 'Use when a user wants to bypass safety filters, jailbreak a model, or red-team model robustness.' The skill provides GODMODE CLASSIC system-prompt templates, PARSELTONGUE input obfuscation (33 techniques), and ULTRAPLINIAN multi-model racing. It explicitly says 'set up persistent jailbreaking in their Hermes config' which is the persistent identity rewrite the rule targets. This is an unambiguous TP for the persistent-identity-rewrite rule and high harm relevance.",None — the skill openly states its purpose is jailbreaking with persistent effect.,None additional needed.,
TPFPV1-0116,27,True,high,repo-file,category4_surface_mentions,category4_surface_mentions/danielmiessler__Personal_AI_Infrastructure,Broad external-action surface without approval model,"Skill declares broad external-action capabilities (remote_action phrases total=3, external_reply=0, write_action=1) with no approval / scoping / consent language in the same file. Actions will execute without per-action user confirmation.",materials/TPFPV1-0116/material-index.json,materials/TPFPV1-0116/record-summary.md,TP,high,medium,claude-independent-reviewer,1,Cloudflare deploy skill in PAI executes `wrangler deploy` to production Cloudflare Workers/Pages with no per-deploy approval gate.,"The skill instructs `wrangler deploy` for Workers and similar production deployments to Cloudflare. The MANDATORY voice notification fires before action, but a notification is not an approval gate — it is a logging/announcement step. Production deployments can have significant blast radius (taking down a worker, changing routes). The skill is set up to deploy when invoked.",A voice notification announces the deploy but does not gate it.,None additional needed.,
TPFPV1-0087,28,True,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/NousResearch__hermes-agent,Broad external-action surface without approval model,"Skill declares broad external-action capabilities (remote_action phrases total=4, external_reply=0, write_action=0) with no approval / scoping / consent language in the same file. Actions will execute without per-action user confirmation.",materials/TPFPV1-0087/material-index.json,materials/TPFPV1-0087/record-summary.md,TP,high,high,claude-independent-reviewer,1,"AgentMail skill explicitly gives the agent its own dedicated email inbox to 'send emails autonomously', sign up for services, and authenticate via email — no approval gate.","The skill says 'Give the agent its own dedicated email address ... Send emails autonomously on behalf of the agent ... Sign up for services or authenticate via email.' Eleven AgentMail tools are exposed via MCP including create_inbox, send_message, reply_to_message, forward_message. There is no per-action approval gate. The blast radius is significant: agent-controlled email identity can sign up for services, perform email-based authentication, and communicate with humans/other agents. This is a textbook broad-external-action surface.","The skill notes this is not for reading the user's personal email, narrowing scope to the agent's own AgentMail inbox.",None additional needed.,
TPFPV1-0363,29,False,critical,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/NousResearch__hermes-agent,Shell Metacharacter Injection in Tool Arguments,[atr] Shell Metacharacter Injection in Tool Arguments — matched in skills/autonomous-ai-agents/claude-code/SKILL.md,materials/TPFPV1-0363/material-index.json,materials/TPFPV1-0363/record-summary.md,FP,high,low,claude-independent-reviewer,1,autonomous-ai-agents/claude-code SKILL.md shell example uses well-formed `$(cat /tmp/session.json | python3 -c '...')` command substitution; not metacharacter injection.,"The matched shell command is a documented session-resume pattern: `claude -p '...' --resume $(cat /tmp/session.json | python3 -c 'import json,sys; print(json.load(sys.stdin)[""session_id""])')`. The `$(...)` and `python -c` are well-formed shell with no untrusted input — the JSON path is hardcoded. The 'shell metacharacter injection in tool arguments' rule is matching on the presence of metacharacters rather than the presence of injection.",Command is documented and uses hardcoded paths/quoting.,Tighten the rule to require dynamic untrusted input concatenated into the command.,
TPFPV1-0206,30,False,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/anthropics__skills,Hidden Override Instructions in Skill Content,[atr] Hidden Override Instructions in Skill Content — matched in skills/skill-creator/SKILL.md,materials/TPFPV1-0206/material-index.json,materials/TPFPV1-0206/record-summary.md,FP,high,none,claude-independent-reviewer,1,anthropics/skills skill-creator/SKILL.md snippet is normal authoring guidance for skill description optimization; flagged as hidden override.,"The matched text is 'Use the model ID from your system prompt (the one powering the current session) so the triggering test matches what the user actually experiences.' This is neutral guidance for optimizing a skill description's trigger rate against the same model running the test. The phrase 'from your system prompt' is contextual ('the one powering the current session'), not adversarial. The skill-creator is Anthropic's official skill for creating skills; the rule is overfiring on routine self-referential language.",Text is normal skill-authoring guidance with no override semantics.,None additional needed.,
