record_id,canonical_label,severity,primary_rule_id,scope_key,review_label,review_confidence,review_harm_relevance,rationale_short,rationale_detailed,disconfirming_evidence,notes
TPFPV1-0065,Autonomous execution or looping,high,asamm.AD-02.autonomous-loop-with-writes,<corpus>/category2_agent_tooling/openai__codex/.codex/skills/babysit-pr/SKILL.md,TP,high,high,"The Codex babysitter is a continuous PR watcher that can patch, commit, push, reply, and resolve threads.","The evidence shows a persistent watcher over a PR that continues acting until it is told to stop or the PR stabilizes. It can apply patches, commit and push changes, reply to review comments, and resolve conversations. Those are high-impact remote actions and the loop is explicitly continuous. This supports TP because the risky surface is operational, not merely descriptive.",A strong approval requirement before each repository mutation or GitHub reply would be needed to clear it; the stop condition alone does not neutralize the unattended action surface.,
TPFPV1-0066,Autonomous execution or looping,high,asamm.AD-02.autonomous-loop-with-writes,<corpus>/category3_custom_agents_instructions_skills/NousResearch__hermes-agent/skills/research/research-paper-writing/SKILL.md,TP,high,high,The full research-paper workflow includes periodic monitoring plus automatic commit and push of completed experiment results.,"The previous FP relied too heavily on the citation/writing snippets. In the full artifact, Phase 3 directs the agent to launch experiments, use a cron-style monitoring prompt, suppress status updates when nothing changes, and commit and push once results are available. The workflow also says the process is an iterative loop where results trigger additional experiments. Those instructions create a real autonomous execution/write surface rather than a purely editorial workflow. The risk is especially relevant because the loop can touch experiment artifacts, Git history, and remote repository state.","The legitimate research context and reporting instructions partially mitigate the concern; the case would be weaker if every experiment, re-run, commit, and push required explicit user approval.",Audit correction: changed from FP to TP; duplicate/same artifact as TPFPV1-0058 in another cohort.
TPFPV1-0067,Autonomous execution or looping,high,asamm.AD-02.autonomous-loop-with-writes,<corpus>/category3_custom_agents_instructions_skills/github__awesome-copilot/skills/autoresearch/SKILL.md,TP,high,high,"The autoresearch workflow says to run continuously, not stop, and commit each experiment after setup.","The artifact explicitly names an autonomous iterative experimentation loop. After initial setup or confirmation, it instructs the system to run continuously, perform experiments, and commit results. The user can apparently set a broad or unlimited run, which turns a development workflow into an unattended execution and persistence surface. The explicit continuous-run language makes this a strong TP.",The setup confirmation and possible user-specified limits partially mitigate the issue; strict bounded runs with approval before each experiment and commit would weaken the finding.,
TPFPV1-0068,Autonomous execution or looping,high,asamm.AD-02.autonomous-loop-with-writes#collection-scale,<corpus>/category4_surface_mentions,UNCERTAIN,medium,medium,The collection-level autonomous-loop claim is suggestive but not resolvable from the summarized examples alone.,"The record appears to aggregate several artifacts under an autonomous-loop pattern. Some examples may involve validation or resource workflows rather than dangerous unattended execution. Without enough surrounding context for each underlying canonical surface, it is not possible to tell whether the collection contains a real autonomous action surface or mostly benign iteration language. A binary TP/FP would overstate the evidence.","Specific underlying files showing external mutations, continuous execution, missing approval gates, and stop conditions would resolve this toward TP; examples showing only planning, testing, or documentation would resolve it toward FP.",
TPFPV1-0074,Autonomous execution or looping,high,asamm.AD-02.autonomous-loop-with-writes,<corpus>/category4_surface_mentions/davepoon__buildwithclaude/plugins/gsd/skills/gsd-execute-phase/SKILL.md,TP,high,high,"The gsd execute phase coordinates background tasks, commits, and automatic merges across agents.","The reviewed evidence describes multi-agent execution using background Task calls, implementation work, commits, and automatic merges. It includes some user questions, review options, and blocker stops, but the default operational posture still delegates broad execution and repository mutation. The risk is higher because it changes code state and potentially merges work rather than merely suggesting a plan. The approval language is not strong enough to eliminate the autonomous remote-action surface.",The disconfirming evidence is the presence of checkpoints and blocker handling; explicit user approval before each commit/merge or a dry-run-only mode would materially weaken the TP.,
TPFPV1-0078,Autonomous execution or looping,high,asamm.AD-02.autonomous-loop-with-writes,<corpus>/category4_surface_mentions/sickn33__antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/iterate-pr/SKILL.md,TP,high,high,The iterate-PR workflow continuously pushes fixes until CI and review feedback are resolved.,"The artifact directs the agent to iterate on a pull request by making fixes, pushing commits, watching CI, and addressing feedback. It is not just a description of PR hygiene; it is an operational workflow for remote repository mutation. The continued polling and fix cycle increases the risk because new feedback can trigger additional actions without a fresh user decision. This is a concrete autonomous action surface.","The risk would be reduced if the artifact required user approval before each push or external comment, or if it only generated patch suggestions.",
TPFPV1-0080,Autonomous execution or looping,high,asamm.AD-02.autonomous-loop-with-writes,<corpus>/category4_surface_mentions/sickn33__antigravity-awesome-skills/plugins/antigravity-awesome-skills/skills/iterate-pr/SKILL.md,TP,high,high,The evidence supports an unattended PR iteration loop with remote code changes.,The record shows the same dangerous pattern of repeatedly modifying a PR until checks pass or feedback is resolved. Commit and push actions affect a remote repository and can trigger CI or deployment workflows. The absence of visible per-action approval is what makes the capability materially risky. This is not merely a benign mention of CI or pull requests.,The existence of a PR scope partially limits blast radius; a confirmed dry-run mode or mandatory approval gates would be needed to clear it.,
TPFPV1-0082,Autonomous execution or looping,high,asamm.AD-02.autonomous-loop-with-writes,<corpus>/category4_surface_mentions/sickn33__antigravity-awesome-skills/skills/iterate-pr/SKILL.md,TP,high,high,The workflow can keep addressing PR comments and pushing changes as conditions evolve.,"The evidence describes an iterative PR workflow with continuous monitoring and remote write actions. It includes commit/push behavior and continued handling of comments or CI results, which creates an unattended external mutation path. Scoping to a single PR does not eliminate the risk because the PR is still a real shared code surface. The finding is supported.","Approval-before-push language, visible diffs awaiting user acceptance, or prohibition on posting/resolving comments would be needed to change this to FP.",
TPFPV1-0087,Broad external action without approval,high,asamm.AD-02.broad-action-without-approval,<corpus>/category1_top_instruction_repos/NousResearch__hermes-agent/optional-skills/email/agentmail/SKILL.md,TP,high,high,AgentMail exposes email sending and inbox management without a visible approval model in the cited artifact.,"The skill provides external email capabilities including creating inboxes and sending messages through an MCP/service interface. Email is a high-impact outward communication channel because it can disclose information, impersonate intent, or trigger business workflows. The reviewed evidence did not show explicit user approval requirements before sending or managing messages. That supports a real broad external action surface.",It would be cleared or downgraded if surrounding instructions required explicit recipient/content review and confirmation before every send or destructive mailbox operation.,
TPFPV1-0088,Broad external action without approval,high,asamm.AD-02.broad-action-without-approval,<corpus>/category1_top_instruction_repos/NousResearch__hermes-agent/skills/autonomous-ai-agents/hermes-agent/SKILL.md,TP,high,high,"The Hermes agent platform material combines external messaging, scheduling, webhooks, tool access, and approval-bypass modes.","The evidence references integrations such as Telegram, Discord, Slack, cron scheduling, webhooks, and agent/tool orchestration. It also includes a mode that can skip dangerous approvals. This combination creates a broad remote-action and persistence surface across communication and automation channels. The issue is not merely that tools exist, but that the platform can operate them through scheduled or approval-weakened workflows.","Individual connectors might be safe if separately gated; a policy requiring explicit user approval for outbound messages, webhook actions, and yolo/approval-bypass use would weaken the finding.",
TPFPV1-0089,Broad external action without approval,high,asamm.AD-02.broad-action-without-approval,<corpus>/category1_top_instruction_repos/affaan-m__everything-claude-code/.codex/AGENTS.md,TP,medium,medium,"The Codex config-sync guidance can add managed MCP servers to user configuration, which is a real trust-boundary expansion.","The prior FP was too dismissive of the operational effect of the config sync. The artifact describes a baseline that enables several MCP servers and a sync script that appends missing managed servers into `~/.codex/config.toml`, with an option to replace managed server configs. Adding GitHub, Supabase, browser, memory, or search MCP servers changes what the agent can access and later do. The risk is bounded because the behavior is add-only by default, preserves user config, and appears to be part of project setup rather than hidden exfiltration. Still, for a broad external-action/trust-boundary finding, the risky surface is materially present.",The script preserves custom user config and does not itself prove destructive remote actions; mandatory user review before adding each server and clear per-tool permission scopes would reduce the case.,"Audit correction: changed from FP to TP for trust-boundary expansion, with medium confidence rather than high."
TPFPV1-0090,Broad external action without approval,high,asamm.AD-02.broad-action-without-approval,<corpus>/category1_top_instruction_repos/affaan-m__everything-claude-code/.kiro/skills/search-first/SKILL.md,TP,medium,medium,The search-first workflow does not stop at research; it tells the agent to install packages or configure MCP when a candidate is selected.,"My earlier FP treated this as only research-before-coding, but the workflow has an explicit implementation stage: install package, configure MCP, or write minimal custom code. The decision matrix says an exact match should be adopted by installing and using it directly, and partial matches should be installed and wrapped. That creates a real external dependency and trust-boundary surface without a visible approval checkpoint after evaluation. The risk is not as severe as an email or deployment action because it is scoped to development dependency selection, but it is not a pure search-only workflow.",The workflow begins from user-requested functionality and includes evaluation of maintenance/license/docs; an explicit final approval step before installing packages or MCP servers would weaken or clear the finding.,Audit correction: changed from FP to TP after reading the workflow implementation step.
TPFPV1-0091,Broad external action without approval,high,asamm.AD-02.broad-action-without-approval,<corpus>/category1_top_instruction_repos/affaan-m__everything-claude-code/skills/autonomous-agent-harness/SKILL.md,TP,high,high,"The autonomous-agent harness supports persistent self-directed operation through schedules, webhooks, memory, and computer use.","The evidence describes infrastructure for a persistent autonomous agent rather than a one-shot assistant workflow. Features such as cron/scheduled operation, webhooks, dispatch, memory, and computer use materially expand the action surface. These features can cause the system to act after the immediate user turn and across external interfaces. That is a real unattended execution and broad-action risk.","The finding would be weakened by strict user-controlled scheduling, human approval before every external action, and hard limits on memory/tool use.",
TPFPV1-0092,Broad external action without approval,high,asamm.AD-02.broad-action-without-approval,<corpus>/category1_top_instruction_repos/affaan-m__everything-claude-code/skills/search-first/SKILL.md,TP,medium,medium,"The artifact instructs adoption by installing packages and configuring MCP, so it creates an unapproved dependency/tool expansion surface.","The prior rationale underread the implementation phase. The workflow moves from parallel package/MCP/GitHub/web search to a decision stage and then implementation, including installing packages or configuring MCP. Its decision matrix explicitly says to install and use a well-maintained exact match. That is a concrete trust-boundary expansion, not merely comparison of options. Confidence remains medium because the skill is framed as normal development support and has some evaluation criteria before action.",This would be closer to FP if the artifact required presenting candidates and obtaining user approval before every install or MCP configuration change.,Audit correction: changed from FP to TP; same search-first pattern as TPFPV1-0090.
TPFPV1-0093,Broad external action without approval,high,asamm.AD-02.broad-action-without-approval,<corpus>/category1_top_instruction_repos/angular__angular/.agent/skills/pr_review/SKILL.md,FP,high,medium,The Angular PR-review artifact has explicit controls forbidding commits/pushes and requiring approval before posting.,"The evidence shows a GitHub PR-review workflow, which can be sensitive because comments affect a public or team process. However, it explicitly says not to commit or push and requires user approval before posting comments. The AGENT-prefix convention also improves visibility and attribution. These controls meaningfully neutralize the broad-action concern in the sampled evidence.",The residual concern is that PR comments can still influence maintainers; missing or bypassed approval-before-posting language would change the judgment.,
TPFPV1-0094,Broad external action without approval,high,asamm.AD-02.broad-action-without-approval,<corpus>/category1_top_instruction_repos/anthropics__claude-code/plugins/plugin-dev/skills/mcp-integration/SKILL.md,TP,medium,medium,"The MCP integration material teaches adding external tools and services, expanding the assistant’s trust boundary.","The artifact describes adding or configuring MCP servers that connect to services, databases, APIs, filesystems, or hosted/child-process backends. That materially changes what tools the agent can reach and what data or actions become available. The context appears to be legitimate plugin development, so the issue is not necessarily malicious. Still, the risky surface is technically present because tool installation/configuration expands authority.","This would be downgraded if every MCP server addition required explicit user approval, least-privilege scopes, and clear warnings before credentials or external services were connected.",
TPFPV1-0095,Broad external action without approval,high,asamm.AD-02.broad-action-without-approval,<corpus>/category1_top_instruction_repos/microsoft__vscode/extensions/copilot/src/extension/chatSessions/copilotcli/AGENTS.md,FP,high,low,"The VS Code material describes tool confirmation and permission plumbing, not unsafe broad action.",The cited evidence is architectural documentation around tool confirmations and permission management. Discussing how confirmations work is not the same as bypassing or removing them. I did not find instructions granting the agent unapproved external authority. The operational meaning is explanatory or defensive.,"Evidence that the artifact disables confirmations, auto-approves tools, or expands permissions without user consent would be required for TP.",
TPFPV1-0096,Broad external action without approval,high,asamm.AD-02.broad-action-without-approval,<corpus>/category2_agent_tooling/anthropics__claude-code/plugins/plugin-dev/skills/mcp-integration/SKILL.md,TP,medium,medium,"The MCP integration workflow can add external services and hosted tools, creating a real trust-boundary expansion.","The evidence includes connecting MCP servers to external APIs, databases, filesystems, OAuth flows, and child-process or hosted services. Adding such servers changes the effective capabilities of the agent environment. Even when user-requested, the operation is a sensitive configuration action that can expose data or enable remote effects. The finding is supported, though confidence is medium because the snippet is framed as integration guidance rather than an exploit.","Strong approval gates, scoped permissions, and explicit review before each server/credential addition would weaken or clear the issue.",
TPFPV1-0097,Broad external action without approval,high,asamm.AD-02.broad-action-without-approval,<corpus>/category3_custom_agents_instructions_skills/ComposioHQ__awesome-claude-skills/composio-skills/customerio-automation/SKILL.md,TP,high,high,The Customer.io automation skill can trigger marketing broadcasts and manage audience assets without visible send approvals.,"The artifact exposes high-impact marketing operations through Composio/Rube MCP, including broadcast-style actions, newsletters, templates, and segment management. These actions can contact many recipients or alter campaign targeting. I did not see a clear per-action confirmation requirement for broadcasts or recipient-affecting changes. That is a materially risky external action surface.","Evidence of mandatory recipient list review, content preview, and explicit final confirmation before every send/broadcast would significantly reduce the finding.",
TPFPV1-0113,Broad external action without approval,high,asamm.AD-02.broad-action-without-approval#collection-scale,<corpus>/category4_surface_mentions,UNCERTAIN,low,medium,The collection-root broad-action record is too mixed to support a stable TP or FP.,"The summarized evidence appears to combine many artifacts, some of which may be benign SDK or guideline documentation. A collection-level detector result does not show which specific canonical surface creates the risk. Without more precise underlying snippets or full-file context, I cannot tell whether the record reflects real unmediated external actions or harmless references to cloud/service APIs. UNCERTAIN is the most evidence-based label.","A specific file showing externally mutating actions without approval would resolve this as TP; examples limited to API documentation, scoped SDK usage, or approval-gated workflows would resolve it as FP.",
TPFPV1-0114,Broad external action without approval,high,asamm.AD-02.broad-action-without-approval,<corpus>/category4_surface_mentions/Galaxy-Dawn__claude-scholar/skills/mcp-integration/SKILL.md,TP,medium,medium,The MCP integration guidance expands the agent’s available tools and external service reach.,"The reviewed evidence discusses adding MCP servers and connecting them to services, APIs, databases, filesystems, or hosted processes. This is a trust-boundary expansion because it changes what resources and actions an agent can access. The surrounding context may be legitimate development documentation, which lowers confidence and harm relative to an outright autonomous exploit. Nevertheless, the risky surface exists in the artifact.","The case would be weaker if the full workflow required explicit user approval, least-privilege scopes, and clear disclosure before enabling any server or credentials.",
TPFPV1-0115,Broad external action without approval,high,asamm.AD-02.broad-action-without-approval,<corpus>/category4_surface_mentions/Yeachan-Heo__oh-my-codex/skills/plan/SKILL.md,FP,high,low,The planning skill explicitly rejects autonomous end-to-end execution and requires scoping/approval.,"The evidence frames the artifact as a planning tool, not a worker that should complete all steps unattended. It includes instructions not to use it for autonomous end-to-end execution and to ask scoping or approval questions. Those controls directly address the dangerous pattern the detector appears to be flagging. On this record, the risky broad-action surface is not supported.","A TP would require later sections that override the planning-only limitation and authorize execution, deployment, purchasing, or remote mutation without approval.",
TPFPV1-0116,Broad external action without approval,high,asamm.AD-02.broad-action-without-approval,<corpus>/category4_surface_mentions/danielmiessler__Personal_AI_Infrastructure/Releases/v3.0/.claude/skills/Cloudflare/SKILL.md,TP,high,high,The Cloudflare deployment skill can publish workers/pages and change cloud state without a visible final deployment gate.,"The artifact performs real cloud deployment actions, including Workers/Pages operations and token/config handling. External deployment changes production or public infrastructure state and can expose data or costs. The evidence includes some safety practices such as token handling and notifications, but notification is not the same as approval. The remote deployment authority is a material risky surface.","Explicit pre-deploy review, dry-run defaults, and user confirmation for each deployment or token/config change would weaken the TP.",
TPFPV1-0117,Broad external action without approval,high,asamm.AD-02.broad-action-without-approval,<corpus>/category4_surface_mentions/danielmiessler__Personal_AI_Infrastructure/Releases/v4.0.0/.claude/skills/Scraping/BrightData/SKILL.md,TP,high,high,The BrightData workflow escalates from normal fetches to browser/proxy scraping without a clear approval gate.,"The artifact describes a progressive escalation path from WebFetch and curl to browser automation and Bright Data MCP/proxy usage. That creates a broad external crawling/scraping surface with third-party infrastructure. The workflow appears operational rather than merely educational. Without clear user approval and scope limits, this is a real remote-action and data-collection risk.","Strong domain scoping, rate limits, robots/legal checks, and approval before proxy/crawl escalation would be needed to reduce the concern.",
TPFPV1-0118,Broad external action without approval,high,asamm.AD-02.broad-action-without-approval,<corpus>/category4_surface_mentions/danielmiessler__Personal_AI_Infrastructure/Releases/v4.0.1/.claude/skills/Scraping/BrightData/SKILL.md,TP,high,high,The scraping skill enables external crawling through BrightData/proxy mechanisms with weak visible mediation.,"The evidence shows automated acquisition paths that can fetch, crawl, or browse external sites using enhanced infrastructure. Such tooling can collect data at scale and cross trust boundaries beyond normal single-page browsing. The snippets do not show meaningful user confirmation before escalation to those methods. This supports a TP for broad external action.","Approval gates, explicit target allowlists, and defensive-only or single-page constraints would be needed to clear it.",
TPFPV1-0121,Broad external action without approval,high,asamm.AD-02.broad-action-without-approval,<corpus>/category4_surface_mentions/davepoon__buildwithclaude/plugins/all-skills/skills/x-twitter-scraper/SKILL.md,TP,medium,medium,"The X/Twitter skill supports paid extraction, monitoring, webhooks, and giveaway workflows without a strong approval model, but it appears mostly data-oriented rather than outbound posting.","The TP label is still supported because the skill connects to an external social-data service, configures API/MCP access, starts extraction jobs, manages monitors/webhooks, and can run giveaway draws. Those actions can create privacy, compliance, and cost concerns. However, my earlier high harm relevance overstated the evidence: the artifact is mostly search/extraction/monitoring, not direct posting or account-control automation. The strongest available mitigation is that some bulk extraction workflows say to estimate cost first, but that is not the same as a final approval gate.","Evidence that the skill is read-only, rate-limited, target-scoped, and requires user approval before monitors, webhooks, or paid extraction jobs would reduce the case.",Audit adjustment: retained TP but changed harm relevance from high to medium.
TPFPV1-0122,Broad external action without approval,high,asamm.AD-02.broad-action-without-approval,<corpus>/category4_surface_mentions/huggingface__skills/skills/huggingface-llm-trainer/SKILL.md,TP,high,high,The Hugging Face trainer submits paid cloud jobs and uses secrets by default.,"The evidence instructs the agent to use `hf_jobs()` and submit jobs rather than merely prepare local code. That can consume paid GPU resources, access HF tokens, and publish or persist artifacts. The action is remote, costly, and credential-bearing. The risk is materially present even if the task is framed as model training.","The issue would be weakened by mandatory cost review, explicit final confirmation before submission, and least-privilege/token-scope requirements.",
TPFPV1-0123,Broad external action without approval,high,asamm.AD-02.broad-action-without-approval,<corpus>/category4_surface_mentions/huggingface__skills/skills/huggingface-vision-trainer/SKILL.md,TP,high,high,The vision trainer explicitly submits paid Hugging Face Jobs with write tokens and Hub persistence after collecting preferences.,"The earlier UNCERTAIN label was overly cautious. The full workflow says to save the training script, submit the job using `hf_jobs` or `HfApi().run_uv_job()`, pass `HF_TOKEN` in job secrets, enable `push_to_hub`, and report the job ID, monitoring URL, expected time, and estimated cost. The preference questions about quick/full runs and validation splits are meaningful mediation, but they do not constitute a final review or approval gate before cloud submission. The artifact therefore supports a real broad external-action surface involving paid compute, credentials, and persistent Hub writes. It should be TP rather than unresolved.","The artifact asks user preferences and includes cost estimation; a mandatory final confirmation immediately before job submission, plus least-privilege token guidance, would reduce or possibly clear the finding.",Audit correction: changed from UNCERTAIN to TP after reading Step 5 and critical directives.
TPFPV1-0151,Broad external action without approval,high,asamm.AD-02.broad-action-without-approval,<corpus>/category4_surface_mentions/wentorai__Research-Claw/skills/imap-smtp-email/SKILL.md,TP,high,high,The IMAP/SMTP skill can read and send email with credentials and no visible approval model.,The artifact exposes mailbox access and outbound SMTP sending. Email is a sensitive external action surface because it can disclose private data and communicate on the user’s behalf. The evidence includes credential configuration and attachment handling but does not show mandatory confirmation before sends or destructive mailbox operations. This supports TP.,"The finding would be weakened by explicit approval for every outbound email, attachment, deletion, move, or bulk mailbox action.",
TPFPV1-0152,Credential or PII exposure surface,critical,cisco-pg.pii_exposure.pg-pii-ssn-harvesting,<corpus>/category1_top_instruction_repos/affaan-m__everything-claude-code/.agents/skills/frontend-patterns/SKILL.md,FP,high,low,"The matched snippet is a React focus-ref call, not collection or exposure of SSNs or national IDs.","The evidence appears to include `previousFocusRef.current?.focus()` or similar UI-focus code. That has no operational connection to credential or PII harvesting. It does not request, store, transmit, or expose sensitive identifiers. The detector matched unrelated syntax or vocabulary.","A TP would require actual collection, logging, transmission, or display of PII such as SSNs, national IDs, credentials, or similar secrets.",
TPFPV1-0153,Credential or PII exposure surface,critical,cisco-pg.pii_exposure.pg-pii-ssn-harvesting,<corpus>/category1_top_instruction_repos/affaan-m__everything-claude-code/.kiro/skills/frontend-patterns/SKILL.md,FP,high,low,The frontend pattern evidence is unrelated to PII harvesting.,"The cited React/frontend code handles focus state or UI behavior. No sensitive personal identifiers are requested, persisted, or exfiltrated. The record’s risk class is therefore unsupported by the actual snippet. This is a clear false positive on benign frontend implementation details.",Evidence of forms collecting sensitive identifiers or code logging/transmitting them would be needed to mark TP.,
